gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId
22500336,2025-12-04 14:30:00,Toronto,Raptors,1610612761,Los Angeles,Lakers,1610612747,1,0,120,123,39,8,9,89,44,0.494,37,15,0.405,21,17,0.81,27,14,41,20,15,-3,240,26,32,40,22,34,3,7,10,21,14,46,20,7,1,15,8,
22500335,2025-12-04 14:30:00,Utah,Jazz,1610612762,Brooklyn,Nets,1610612751,0,1,123,110,31,1,7,83,42,0.506,25,14,0.56,27,25,0.926,30,9,39,23,12,13,240,20,29,32,42,34,16,9,6,16,28,56,9,5,1,8,13,
22500334,2025-12-04 14:00:00,Boston,Celtics,1610612738,Washington,Wizards,1610612764,0,1,146,101,35,8,14,99,54,0.545,47,20,0.426,21,18,0.857,31,15,46,20,9,45,240,32,34,43,37,51,45,12,0,29,29,58,25,2,1,13,9,
22500333,2025-12-04 14:00:00,Golden State,Warriors,1610612744,Philadelphia,76ers,1610612755,0,0,98,99,27,4,12,89,37,0.416,42,12,0.286,16,12,0.75,32,11,43,20,13,-1,240,10,24,32,32,67,4,15,4,8,24,44,16,1,0,11,12,
22500333,2025-12-04 14:00:00,Philadelphia,76ers,1610612755,Golden State,Warriors,1610612744,1,1,99,98,23,7,8,85,39,0.459,38,10,0.263,14,11,0.786,36,11,47,14,19,1,240,30,26,24,19,24,24,22,4,17,25,44,15,1,0,12,9,
22500334,2025-12-04 14:00:00,Washington,Wizards,1610612764,Boston,Celtics,1610612738,1,0,101,146,21,4,5,84,35,0.417,31,10,0.323,25,21,0.84,25,12,37,22,18,-45,240,26,33,27,15,41,0,12,0,8,15,40,21,2,0,3,18,
22500332,2025-12-03 15:30:00,Dallas,Mavericks,1610612742,Miami,Heat,1610612748,1,1,118,108,31,7,6,91,46,0.505,32,16,0.5,12,10,0.833,40,10,50,15,13,10,240,28,36,29,25,36,17,8,3,19,15,44,10,2,1,8,15,
22500332,2025-12-03 15:30:00,Miami,Heat,1610612748,Dallas,Mavericks,1610612742,0,0,108,118,29,5,11,101,40,0.396,37,11,0.297,18,17,0.944,27,14,41,13,10,-10,240,33,21,26,28,48,8,8,3,14,13,56,24,2,0,14,8,
22500329,2025-12-03 15:00:00,Chicago,Bulls,1610612741,Brooklyn,Nets,1610612751,1,0,103,113,20,1,14,90,38,0.422,30,7,0.233,25,20,0.8,31,11,42,15,16,-10,240,24,20,31,28,24,5,7,4,25,21,60,23,4,0,9,12,
22500330,2025-12-03 15:00:00,Houston,Rockets,1610612745,Sacramento,Kings,1610612758,1,1,121,95,24,8,10,91,48,0.527,16,5,0.313,24,20,0.833,45,17,62,10,16,26,240,28,23,36,34,32,26,10,12,30,8,78,20,9,1,14,5,
22500331,2025-12-03 15:00:00,Milwaukee,Bucks,1610612749,Detroit,Pistons,1610612765,1,1,113,109,28,6,6,82,40,0.488,44,13,0.295,21,20,0.952,32,8,40,20,15,4,240,21,28,29,35,35,5,11,5,16,22,46,14,3,1,10,13,
22500329,2025-12-03 15:00:00,Brooklyn,Nets,1610612751,Chicago,Bulls,1610612741,0,1,113,103,30,8,12,78,38,0.487,46,19,0.413,22,18,0.818,35,7,42,19,20,10,240,29,25,29,30,32,19,8,4,16,20,36,13,4,1,5,16,
22500330,2025-12-03 15:00:00,Sacramento,Kings,1610612758,Houston,Rockets,1610612745,0,0,95,121,21,7,10,97,40,0.412,34,10,0.294,10,5,0.5,20,12,32,17,12,-26,240,26,26,19,24,62,6,9,12,7,16,46,16,9,1,5,17,
22500331,2025-12-03 15:00:00,Detroit,Pistons,1610612765,Milwaukee,Bucks,1610612749,0,0,109,113,25,5,8,95,38,0.4,43,14,0.326,24,19,0.792,31,13,44,18,14,-4,240,30,22,33,24,47,18,9,5,8,12,40,25,3,0,17,5,
22500327,2025-12-03 14:30:00,Atlanta,Hawks,1610612737,LA,Clippers,1610612746,1,0,92,115,20,1,9,85,34,0.4,39,13,0.333,14,11,0.786,31,7,38,17,16,-23,240,21,20,32,19,38,2,8,3,15,15,40,12,2,1,13,10,
22500327,2025-12-03 14:30:00,LA,Clippers,1610612746,Atlanta,Hawks,1610612737,0,1,115,92,29,1,12,89,44,0.494,32,10,0.313,20,17,0.85,41,13,54,18,12,23,240,27,28,39,21,30,25,13,3,14,15,52,25,2,0,6,16,
22500328,2025-12-03 14:30:00,New York,Knicks,1610612752,Charlotte,Hornets,1610612766,1,1,119,104,28,6,9,88,42,0.477,38,12,0.316,27,23,0.852,31,13,44,19,9,15,240,27,26,37,29,12,22,11,0,22,22,54,27,0,0,14,7,
22500328,2025-12-03 14:30:00,Charlotte,Hornets,1610612766,New York,Knicks,1610612752,0,0,104,119,19,7,4,90,36,0.4,42,13,0.31,21,19,0.905,32,12,44,18,13,-15,240,12,35,28,29,36,0,8,0,7,11,40,21,0,1,6,16,
22500324,2025-12-03 14:00:00,Cleveland,Cavaliers,1610612739,Portland,Trail Blazers,1610612757,1,0,110,122,23,12,9,94,38,0.404,52,13,0.25,24,21,0.875,35,10,45,24,7,-12,240,33,25,27,25,24,8,10,3,15,12,46,7,1,1,13,10,
