team, slope, yintercept
trail blazers, 1.7139909632419792, 17.07684539787759
bucks, 1.5919799804595849, 21.33416302135443
thunder, 1.551019839319446, 24.247272471665966
clippers, 1.6824186555866323, 17.923971691758215
mavericks, 1.6916931091723864, 16.87737682823781
hawks, 1.6803852347233, 17.15418071464519
jazz , 1.6996282623183085, 18.939924385971395
heat, 1.6491274553143613, 16.957500141644974
pelicans, 1.6898189399755739, 17.37006268921335
suns, 1.73112297098419, 15.505384880829002
pacers, 1.4720047179100721, 31.64026404416275
celtics, 1.548786146512296, 22.438724974946346
timberwolves, 1.608174148244563, 23.99131678265266
kings, 1.6510847159025195, 18.669128431554768
rockets, 1.6669998437701563, 19.1655273991222
knicks, 1.499987857259944, 27.230477085434714
wizards, 1.6122043778113817, 19.90854794923731
nets, 1.6559661660133567, 15.60963067983123
cavaliers, 1.5256417840683247, 27.52573510751986
lakers, 1.6307476243209715, 15.886619823261533
spurs, 1.5728532147162315, 25.811469894695144
grizzlies, 1.6305537940010197, 20.78094975953642
magic, 1.6302344803612532, 18.19524202818094
bulls, 1.660776136189073, 21.126093903955994
hornets, 1.6453638624724185, 18.826642627708374
pistons, 1.6851801937157063, 15.305180070009428
warriors, 1.648217222123965, 22.481632158505633
nuggets, 1.7253074353420428, 14.692469516785842
76ers, 1.6584661148409734, 16.506247177682614
raptors, 1.663981692622316, 20.005372662600855
